-86.5	-86.5	-86.5	HVDA
-86.5	-86.5	-64.0	ADHV
-86.5	-86.5	-41.5	VHAD
-86.5	-86.5	-19.0	DAVH
-86.5	-86.5	3.5	HVDA
-86.5	-86.5	26.0	ADHV
-86.5	-86.5	48.5	VHAD
-86.5	-86.5	71.0	DAVH
-86.5	3.5	-90.0	HVAD
-86.5	3.5	-67.5	DAHV
-86.5	3.5	-45.0	VHDA
-86.5	3.5	-22.5	ADVH
-86.5	3.5	-0.0	HVAD
-86.5	3.5	22.5	DAHV
-86.5	3.5	45.0	VHDA
-86.5	3.5	67.5	ADVH
-86.5	3.5	90.0	HVAD
-86.0	-86.0	-86.0	HVDA
-86.0	-86.0	-63.5	ADHV
-86.0	-86.0	-41.0	VHAD
-86.0	-86.0	-18.5	DAVH
-86.0	-86.0	4.0	HVDA
-86.0	-86.0	26.5	ADHV
-86.0	-86.0	49.0	VHAD
-86.0	-86.0	71.5	DAVH
-86.0	4.0	-90.0	HVAD
-86.0	4.0	-67.5	DAHV
-86.0	4.0	-45.0	VHDA
-86.0	4.0	-22.5	ADVH
-86.0	4.0	-0.0	HVAD
-86.0	4.0	22.5	DAHV
-86.0	4.0	45.0	VHDA
-86.0	4.0	67.5	ADVH
-86.0	4.0	90.0	HVAD
-85.5	-85.5	-85.5	HVDA
-85.5	-85.5	-63.0	ADHV
-85.5	-85.5	-40.5	VHAD
-85.5	-85.5	-18.0	DAVH
-85.5	-85.5	4.5	HVDA
-85.5	-85.5	27.0	ADHV
-85.5	-85.5	49.5	VHAD
-85.5	-85.5	72.0	DAVH
-85.5	4.5	-90.0	HVAD
-85.5	4.5	-67.5	DAHV
-85.5	4.5	-45.0	VHDA
-85.5	4.5	-22.5	ADVH
-85.5	4.5	-0.0	HVAD
-85.5	4.5	22.5	DAHV
-85.5	4.5	45.0	VHDA
-85.5	4.5	67.5	ADVH
-85.5	4.5	90.0	HVAD
-85.0	-85.0	-85.0	HVDA
-85.0	-85.0	-62.5	ADHV
-85.0	-85.0	-40.0	VHAD
-85.0	-85.0	-17.5	DAVH
-85.0	-85.0	5.0	HVDA
-85.0	-85.0	27.5	ADHV
-85.0	-85.0	50.0	VHAD
-85.0	-85.0	72.5	DAVH
-85.0	5.0	-90.0	HVAD
-85.0	5.0	-67.5	DAHV
-85.0	5.0	-45.0	VHDA
-85.0	5.0	-22.5	ADVH
-85.0	5.0	-0.0	HVAD
-85.0	5.0	22.5	DAHV
-85.0	5.0	45.0	VHDA
-85.0	5.0	67.5	ADVH
-85.0	5.0	90.0	HVAD
-84.5	-84.5	-84.5	HVDA
-84.5	-84.5	-62.0	ADHV
-84.5	-84.5	-39.5	VHAD
-84.5	-84.5	-17.0	DAVH
-84.5	-84.5	5.5	HVDA
-84.5	-84.5	28.0	ADHV
-84.5	-84.5	50.5	VHAD
-84.5	-84.5	73.0	DAVH
-84.5	5.5	-90.0	HVAD
-84.5	5.5	-67.5	DAHV
-84.5	5.5	-45.0	VHDA
-84.5	5.5	-22.5	ADVH
-84.5	5.5	-0.0	HVAD
-84.5	5.5	22.5	DAHV
-84.5	5.5	45.0	VHDA
-84.5	5.5	67.5	ADVH
-84.5	5.5	90.0	HVAD
-84.0	-84.0	-84.0	HVDA
-84.0	-84.0	-61.5	ADHV
-84.0	-84.0	-39.0	VHAD
