0,0,-13.573,82.325,13.678
0,1,-13.864,82.184,13.039
0,2,-14.146,82.062,12.413
0,3,-14.419,81.958,11.799
0,4,-14.682,81.872,11.198
0,5,-14.935,81.804,10.609
0,6,-15.178,81.753,10.032
0,7,-15.411,81.721,9.469
0,8,-15.633,81.706,8.918
0,9,-15.844,81.709,8.379
0,10,-16.045,81.730,7.853
0,11,-16.234,81.767,7.339
0,12,-16.412,81.821,6.837
0,13,-16.579,81.892,6.347
0,14,-16.735,81.979,5.868
0,15,-16.880,82.081,5.401
0,16,-17.013,82.200,4.946
0,17,-17.135,82.333,4.501
0,18,-17.246,82.482,4.067
0,19,-17.346,82.644,3.643
0,20,-17.434,82.821,3.230
0,21,-17.512,83.011,2.826
0,22,-17.578,83.215,2.431
0,23,-17.634,83.431,2.046
0,24,-17.679,83.660,1.670
0,25,-17.713,83.900,1.302
0,26,-17.737,84.152,0.942
0,27,-17.750,84.415,0.590
0,28,-17.753,84.688,0.246
0,29,-17.746,84.971,-0.092
0,30,-17.729,85.264,-0.422
0,31,-17.702,85.567,-0.747
0,32,-17.665,85.878,-1.065
0,33,-17.619,86.197,-1.377
0,34,-17.563,86.524,-1.684
0,35,-17.498,86.859,-1.985
0,36,-17.423,87.200,-2.282
0,37,-17.340,87.549,-2.575
0,38,-17.248,87.903,-2.863
0,39,-17.148,88.263,-3.147
0,40,-17.039,88.628,-3.428
0,41,-16.921,88.998,-3.706
0,42,-16.796,89.373,-3.981
0,43,-16.662,89.751,-4.253
0,44,-16.521,90.133,-4.523
0,45,-16.372,90.518,-4.791
0,46,-16.215,90.906,-5.057
0,47,-16.051,91.297,-5.321
0,48,-15.881,91.689,-5.585
0,49,-15.703,92.082,-5.847
0,50,-15.518,92.477,-6.109
0,51,-15.328,92.872,-6.371
0,52,-15.130,93.268,-6.632
0,53,-14.927,93.663,-6.893
0,54,-14.718,94.058,-7.155
0,55,-14.503,94.452,-7.417
0,56,-14.283,94.844,-7.680
0,57,-14.057,95.235,-7.944
0,58,-13.826,95.623,-8.210
0,59,-13.591,96.009,-8.476
0,60,-13.351,96.392,-8.745
0,61,-13.106,96.772,-9.015
0,62,-12.858,97.148,-9.288
0,63,-12.606,97.520,-9.562
0,64,-12.350,97.887,-9.840
0,65,-12.091,98.249,-10.119
0,66,-11.828,98.607,-10.402
0,67,-11.563,98.959,-10.688
0,68,-11.295,99.304,-10.977
0,69,-11.025,99.644,-11.269
0,70,-10.753,99.977,-11.564
0,71,-10.479,100.303,-11.864
0,72,-10.204,100.621,-12.167
0,73,-9.927,100.932,-12.473
0,74,-9.650,101.235,-12.784
0,75,-9.372,101.530,-13.100
0,76,-9.093,101.817,-13.419
0,77,-8.815,102.094,-13.743
0,78,-8.536,102.363,-14.071
0,79,-8.258,102.622,-14.404
0,80,-7.981,102.871,-14.742
0,81,-7.704,103.111,-15.085
0,82,-7.429,103.340,-15.432
0,83,-7.156,103.559,-15.785
0,84,-6.884,103.768,-16.143
0,85,-6.615,103.966,-16.506
0,86,-6.348,104.153,-16.874
0,87,-6.083,104.328,-17.248
0,88,-5.822,104.493,-17.627
0,89,-5.563,104.646,-18.011
1,0,-12.640,82.800,13.953
1,1,-12.935,82.655,13.309
1,2,-13.221,82.528,12.678
1,3,-13.497,82.420,12.059
1,4,-13.764,82.330,11.452
1,5,-14.021,82.258,10.859
1,6,-14.267,82.204,10.278
1,7,-14.503,82.168,9.711
1,8,-14.728,82.151,9.156
1,9,-14.942,82.151,8.613
1,10,-15.145,82.168,8.084
1,11,-15.336,82.203,7.567
1,12,-15.517,82.255,7.062
1,13,-15.685,82.324,6.569
1,14,-15.843,82.409,6.088
1,15,-15.989,82.510,5.619
1,16,-16.124,82.627,5.162
1,17,-16.247,82.760,4.715
1,18,-16.359,82.907,4.279
1,19,-16.459,83.069,3.854
1,20,-16.549,83.245,3.440
1,21,-16.627,83.434,3.035
1,22,-16.694,83.637,2.639
1,23,-16.750,83.853,2.254
1,24,-16.795,84.081,1.877
1,25,-16.830,84.321,1.508
1,26,-16.853,84.573,1.148
1,27,-16.867,84.836,0.796
1,28,-16.870,85.109,0.452
1,29,-16.862,85.393,0.115
1,30,-16.845,85.686,-0.216
1,31,-16.818,85.989,-0.539
1,32,-16.781,86.300,-0.857
1,33,-16.734,86.620,-1.169
1,34,-16.678,86.947,-1.475
1,35,-16.612,87.282,-1.776
1,36,-16.538,87.625,-2.072
1,37,-16.454,87.973,-2.363
1,38,-16.361,88.328,-2.650
1,39,-16.260,88.689,-2.934
1,40,-16.150,89.054,-3.213
1,41,-16.032,89.425,-3.490
1,42,-15.906,89.800,-3.763
1,43,-15.772,90.179,-4.034
1,44,-15.630,90.562,-4.302
1,45,-15.481,90.948,-4.569
1,46,-15.324,91.336,-4.833
1,47,-15.159,91.727,-5.096
1,48,-14.988,92.120,-5.358
1,49,-14.810,92.514,-5.618
1,50,-14.625,92.910,-5.878
1,51,-14.433,93.306,-6.138
1,52,-14.236,93.702,-6.397
1,53,-14.032,94.098,-6.656
1,54,-13.822,94.494,-6.916
1,55,-13.607,94.888,-7.176
1,56,-13.386,95.281,-7.437
1,57,-13.160,95.673,-7.699
1,58,-12.929,96.062,-7.962
1,59,-12.693,96.449,-8.227
1,60,-12.453,96.833,-8.493
1,61,-12.208,97.213,-8.761
1,62,-11.959,97.590,-9.031
1,63,-11.706,97.963,-9.303
1,64,-11.450,98.332,-9.577
1,65,-11.190,98.695,-9.855
1,66,-10.928,99.054,-10.135
1,67,-10.662,99.407,-10.418
